,title,artist,full,reff,emotion
10,selamat jalan,tipe-x,terlalu lama engkau terkenang. hancurkan diri kian jauh tenggelam. lelah mencoba untuk lepaskan beban. kaubeli mimpi semu tidak berarti sendiri. tidak mampu kau beranjak pergi. jalan yang panjang nanar kautatap. tidak lagi peduli semua yang terjadi. sih makin dalam larut anganmu melayang. mimpimu hadirkan semua penantian. alunan apa ajak kau bernyanyi . akhirnya kau pun pergi tidak kembali. banyak sudah kisah yang tertinggal. kaubuat jadi satu kenangan. seorang sahabat pergi. tanpa tangis arungi mimpi. sih lamat jalan kawan cepatlah berlabuh. mimpimu kini telah kaudapati. tidak ada lagi seorang pun yang mengganggu. kau bernyanyi. tiap haruku hanya sanggup mengingat. jelas bayangmu yang masih melekat. dalam kecewa aku hanya mampu katakan. tetaplah tersenyum kar nya itu jalan yang telah kaupilih. terbanglah oh terbanglah bersama pelangi. banyak sudah kisah yang tertinggal. kaubuat jadi satu kenangan. seorang sahabat pergi. tanpa tangis arungi mimpi. sih lamat jalan kawan cepatlah berlabuh. mimpimu kini telah kaudapati. tidak ada lagi seorang pun yang mengganggu. kau bernyanyi. sih moga dalam damai engkau mengerti. arti dalamnya jalan yang kaudaki. hingga indahnya bias mentari. tidak lagi kaunikmati. sih lamat jalan kawan cepatlah berlabuh. mimpimu kini telah kaudapati. tidak ada lagi seorang pun yang mengganggu. kau bernyanyi,banyak sudah kisah yang tertinggal. kaubuat jadi satu kenangan. seorang sahabat pergi. tanpa tangis arungi mimpi. sih lamat jalan kawan cepatlah berlabuh. mimpimu kini telah kaudapati. tidak ada lagi seorang pun yang mengganggu. kau bernyanyi,sedih
11,menghujam jantungku,tompi,segenap hatiku selalu memujamu. seluruh jiwa aku persembahkan untukmu. sepenuh cintaku merindukan dirimu. seutuh gejolak membakar hatiku. seperti cahaya hadirmu di duniaku. seperti ribuan bintang yang menghujam jantungku. kau membuatku merasakan indahnya jatuh cinta. indahnya di cintai saat kau jadi milikku. oh tidak akan kulepaskan dirimu oh cintaku. teruslah kau bersemi di dalam lubuk hatiku. seperti cahaya hadirmu di duniaku. seperti ribuan bintang yang menghujam jantungku oh. kau membuatku merasakan indahnya jatuh cinta. indahnya di cintai saat kau jadi milikku. oh tidak akan kulepaskan dirimu oh cintaku. teruslah kau bersemi di dalam lubuk hatiku. kau membuatku merasa indahnya jatuh cinta. indahnya di cintai saat kau jadi milikku. oh tidak akan kulepaskan dirimu oh cintaku. teruslah kau bersemi di dalam lubuk hatiku. kau membuatku merasa indahnya jatuh cinta. indahnya di cintai saat kau jadi milikku. saat kau jadi milikku,kau membuatku merasakan indahnya jatuh cinta. indahnya di cintai saat kau jadi milikku. oh tidak akan kulepaskan dirimu oh cintaku. teruslah kau bersemi di dalam lubuk hatiku,bahagia
12,kamu ngga sendirian,tipe-x,bila aku tidak di sini. tetaplah kau bernyanyi. dan bila aku telah pergi. kenanglah yang terjadi. pastikan padaku bahwa kamu. kan baik baik saja. karena di setiap mimpiku. pasti selalu ada kamu. dengarkan dan rasakan. lagu yang aku ciptakan untukmu. walau mungkin terdengar enggak merdu. tapi hanya untukmu. kita pernah bersama di sini. lalui hari penuh warna warni. meski tidak seindah pelangi. tapi kita pernah bermimpi. percayalah padaku meski di gelap malam. kamu enggak sendirian. dan semua bintang yang aku tinggalkan. temani kau sampai akhir malam. dengarkan dan rasakan. lagu yang aku ciptakan untukmu. walau mungkin terdengar enggak merdu. tapi hanya untukmu. kita pernah bersama di sini. lalui hari penuh warna warni. meski tidak seindah pelangi. tapi kita pernah bermimpi. percayalah padaku meski di gelap malam. kamu enggak sendirian. dan semua bintang yang aku tinggalkan. temani kau sampai akhir malam. mungkin ini hanya sementara. mungkin juga untuk selamanya. tapi nanti jika aku kembali. kau harus ada di sini. percayalah padaku meski di gelap malam. kamu enggak sendirian. dan semua bintang yang aku tinggalkan. temani kau sampai akhir malam. percayalah padaku meski di gelap malam. kamu enggak sendirian. dan semua bintang yang aku tinggalkan. temani kau sampai akhir malam. nya nya nya nya nya. nya nya nya nya nya. nya nya nya nya nya. nya nya nya nya nya. nya nya nya nya nya. nya nya nya nya nya,percayalah padaku meski di gelap malam. kamu enggak sendirian. dan semua bintang yang aku tinggalkan. temani kau sampai akhir malam,bahagia
13,pergilah kasih,chrisye,tak pernah kusangka ini terjadi. kisah cinta yang suci ini. kau tinggalkan begitu saja. sekian lamanya kita berdua. tidak kusangka begitu cepat berlalu. untuk mencari kesombongan diri. lupa segala yang pernah kau ucapkan. kau tinggalkan daku. pergilah kasih kejarlah keinginanmu. selagi masih ada waktu. jangan hiraukan diriku. aku rela berpisah demi untuk dirimu. semoga tercapai segala keinginanmu. tidak kusangka begitu cepat berlalu. untuk mencari kesombongan diri. lupa segala yang pernah kau ucapkan. kau tinggalkan daku. pergilah kasih kejarlah keinginanmu. selagi masih ada waktu. jangan hiraukan diriku. aku rela berpisah demi untuk dirimu. semoga tercapai segala keinginanmu. hu uu uu. pergilah kasih kejarlah keinginanmu. selagi masih ada waktu. jangan hiraukan diriku. aku rela berpisah demi untuk dirimu. semoga tercapai segala keinginanmu. kejarlah keinginanmu. selagi masih ada waktu. jangan hiraukan diriku. aku rela berpisah demi untuk dirimu. semoga tercapai segala keinginanmu,pergilah kasih kejarlah keinginanmu. selagi masih ada waktu. jangan hiraukan diriku. aku rela berpisah demi untuk dirimu. semoga tercapai segala keinginanmu,marah
14,manusia bodoh,ada band,dahulu terasa indah. tidak ingin lupakan. bermesraan sih lalu jadi. satu kenangan manis. tiada yang salah. hanya aku manusia bodoh. yang biarkan semua. ini permainkanku berulang ulang kali. mencoba bertahan sekuat hati. layaknya karang yang dihempas sang ombak. jalani hidup dalam buai belaka. serahkan cinta tulus di dalam takdir. tidak ayal tingkah lakumu. buatku putus asa. kadang akal sehat ini. tidak cukup membendungnya. hanya kepedihan. yang sih lalu datang menertawakanku. dia belahan jiwa. tega menari indah di atas tangisanku. mencoba bertahan sekuat hati. layaknya karang yang dihempas sang ombak. jalani hidup dalam buai belaka. serahkan cinta tulus di dalam takdir. tapi sampai kapankah. aku harus menanggungnya . kutukan cinta ini. semua kisah pasti ada akhir. yang harus dilalui. begitu juga akhir kisah ini. yakin aku indah. mencoba bertahan sekuat hati. layaknya karang yang dihempas sang ombak. jalani hidup dalam buai belaka. serahkan cinta tulus di dalam takdir. tapi sampai kapankah. aku harus menanggungnya . kutukan cinta ini. bersemayam dalam kalbu,mencoba bertahan sekuat hati. layaknya karang yang dihempas sang ombak. jalani hidup dalam buai belaka. serahkan cinta tulus di dalam takdir. tapi sampai kapankah. aku harus menanggungnya . kutukan cinta ini,sedih
15,haruskah ku mati,ada band,bagaimana mestinya. membuatmu jatuh hati kepadaku . telah kutuliskan sejuta puisi. meyakinkanmu membalas cintaku. haruskah aku mati karenamu . terkubur dalam kesedihan sepanjang waktu. haruskah kurelakan hidupku . hanya demi cinta yang mungkin bisa membunuhku. hentikan denyut nadi jantungku. tanpa kau tahu betapa suci hatiku. untuk memilikimu. adakah keikhlasan. dalam palung jiwamu mengetukku . ajarkanmu bahasa perasaan. hingga hatimu tidak lagi membeku. haruskah aku mati karenamu . terkubur dalam kesedihan sepanjang waktu. haruskah kurelakan hidupku . hanya demi cinta yang mungkin bisa membunuhku. hentikan denyut nadi jantungku. tanpa kau tahu betapa suci hatiku. untuk memilikimu. tiadakah ruang di hatimu untukku. yang mungkin bisa untuk kusinggahi . hanya sekedar penyejuk di saat aku layu. aku sih lalu menantimu hingga akhir masa oh. haruskah aku mati karenamu . terkubur dalam kesedihan sepanjang waktu. haruskah kurelakan hidupku . hanya demi cinta yang mungkin bisa membunuhku. hentikan denyut nadi jantungku. tanpa kau tahu betapa suci hatiku. untuk memilikimu,haruskah aku mati karenamu . terkubur dalam kesedihan sepanjang waktu. haruskah kurelakan hidupku . hanya demi cinta yang mungkin bisa membunuhku. hentikan denyut nadi jantungku. tanpa kau tahu betapa suci hatiku. untuk memilikimu,sedih
16,saat bahagia,ungu,saat bahagiaku. duduk berdua denganmu. hanyalah bersamamu. mungkin aku terlanjur. tidak sanggup jauh dari dirimu. kuingin engkau sih lalu. untuk jadi milikku. kuingin engkau mampu. kuingin engkau selalu bisa. temani diriku. sampai akhir hayatmu. meskipun itu hanya terucap. dari mulutmu. dari dirimu yang terlanjur mampu. bahagiakan aku. hingga ujung waktuku. selalu. seribu jalan pun kunanti. bila berdua dengan dirimu. melangkah bersamamu. kuyakin tidak ada satu pun. yang mampu merubah rasaku untukmu. kuingin engkau sih lalu. untuk jadi milikku. kuingin engkau mampu. kuingin engkau selalu bisa. temani diriku. sampai akhir hayatmu. meskipun itu hanya terucap. dari mulutmu. dari dirimu yang terlanjur mampu. bahagiakan aku. hingga ujung waktuku. selalu. mungkin aku terlanjur. tidak sanggup jauh dari dirimu. kuingin engkau sih lalu. untuk jadi milikku. kuingin engkau mampu. kuingin engkau selalu bisa. temani diriku. sampai akhir hayatmu. meskipun itu hanya terucap. dari mulutmu. dari dirimu yang terlanjur mampu. bahagiakan aku. hingga ujung waktuku. selalu,untuk jadi milikku. kuingin engkau mampu. kuingin engkau selalu bisa. temani diriku. sampai akhir hayatmu. meskipun itu hanya terucap. dari mulutmu. dari dirimu yang terlanjur mampu. bahagiakan aku. hingga ujung waktuku. selalu,bahagia
17,yang terlewatkan,sheila on 7,kemana kau selama ini . bidadari yang akunanti. kenapa baru sekarang kita dipertemukan . sesal takkan ada arti. karena semua telah terjadi. kini kau telah menjalani du du du du du. sisa hidup dengannya. mungkin salahku melewatkanmu. tidak mencarimu sepenuh hati maafkan aku. kesalahanku melewatkanmu. hingga kau kini dengan yang lain maafkan aku. jika berulang kembali. kau tidak akan terlewati. segenap hati akucari du du du du du. dimana kau berada . mungkin salahku melewatkanmu. tidak mencarimu sepenuh hati maafkan aku oh. kesalahanku melewatkanmu. hingga kau kini dengan yang lain maafkan aku. walau akuterlambat. kau tetap yang terhebat. melihatmu melihatmu mendengarmu mendengarmu . kaulah yang terhebat,mungkin salahku melewatkanmu. tidak mencarimu sepenuh hati maafkan aku oh. kesalahanku melewatkanmu. hingga kau kini dengan yang lain maafkan aku,sedih
18,dekat di hati,ran,dering telefonku membuatku tersenyum di pagi hari. kau bercerita semalam kita bertemu dalam mimpi. entah mengapa aku merasakan hadirmu di sini. tawa candamu menghibur saatku sendiri. aku di sini dan kau di sana. hanya berjumpa via suara. namun aku selalu menunggu saat kita akan berjumpa. meski kau kini jauh di sana. kita memandang langit yang sama. jauh di mata namun dekat di hati. dering telefonku membuatku tersenyum di pagi hari. tawa candamu menghibur saatku sendiri. aku di sini dan kau di sana. hanya berjumpa via suara. namun aku selalu menunggu saat kita akan berjumpa. meski kau kini jauh di sana. kita memandang langit yang sama. jauh di mata namun dekat di hati. aku di sini dan kau di sana. hanya berjumpa via suara. namun aku selalu menunggu saat kita akan berjumpa. meski kau kini jauh di sana. kita memandang langit yang sama. jauh di mata namun kau dekat di hati. jarak dan waktu takkan berarti. karena kau akan selalu di hati. bagai detak jantung yang kubawa kemanapun kupergi. meski kau kini jauh di sana. kita memandang langit yang sama. jauh di mata namun dekat di hati. dekat di hati. dekat di hati,aku di sini dan kau di sana. hanya berjumpa via suara. namun aku selalu menunggu saat kita akan berjumpa. meski kau kini jauh di sana. kita memandang langit yang sama. jauh di mata namun dekat di hati,bahagia
19,dia milikku,yovie & nuno,semula aku tidak tahu. engkau juga kan ingin memilikinya. bukankah aku lebih dulu. bila engkau temanku. sebaiknya tidak mengganggu. dia untukku. bukan untukmu. dia milikku. bukan milikmu. pergilah kamu. jangan kau ganggu. biarkan aku. mendekatinya. kamu. tidak akan mungkin. mendapatkannya. karena dia. berikan aku. pertanda cinta. janganlah kamu banyak bermimpi oh. dia untuk aku. bukankah belum pasti. kamu juga kan jadi. dengan dirinya. dia yang menentukan. apa yang kan terjadi. tidak usah mengaturku. dia untukku. bukan untukmu. dia milikku. bukan milikmu. lihatlah nanti. lihatlah saja. biarkan aku. mendekatinya. kamu. tidak akan mungkin. mendapatkannya. karena dia. berikan aku. pertanda juga. janganlah kamu banyak bermimpi oh. kusarankan engkau mundur saja oh. dia untukku. bukan untukmu. dia milikku. bukan milikmu. pergilah kamu. jangan kau ganggu. biarkan aku. mendekatinya,dia untukku. bukan untukmu. dia milikku. bukan milikmu. lihatlah nanti. lihatlah saja. biarkan aku. mendekatinya. kamu. tidak akan mungkin. mendapatkannya. karena dia. berikan aku. pertanda cinta. janganlah kamu banyak bermimpi,marah
20,bumi dan bulan,hivi!,bidadari biru berlarut melamun. merajut sendu berlinang embun. mengapa kau membiru menyapa seribu tanya. buat apa bila tahu jawabnya. oh kita bagai bumi dan bulan. berpasangan walau tidak sejalan. mungkin kita harus belajar pada mereka. untuk tetap bahagia. bagai bumi dan bulan . mengapa kau bertanya. bila kau tahu bila kau tahu jawabnya. buat apa kita takkan bersama. dan kita tidak akan bersama . oh oh oh oh . biar cerita dikenang indahnya. jangan paksakan cinta akan ada. haruskah kisah dinoda benci. harimu yang nanti akan cerah kembali kembali . kita bagai bumi dan bulan oh kita bagai bumi dan bulan . berpasangan walau tidak sejalan berpasangan walau tidak sejalan . mungkin kita harus belajar pada mereka. untuk tetap bahagia. kita bagai bumi dan bulan. berpasangan walau tidak sejalan hmm berpasangan walau tidak sejalan . mungkin kita harus belajar pada mereka. untuk tetap bahagia. kita bagai bumi bulan . kita bagai bagai bumi bulan berpasangan tidak sejalan,kita bagai bumi dan bulan. berpasangan walau tidak sejalan. mungkin kita harus belajar pada mereka. untuk tetap bahagia,sedih
